Time,Altitude,Velocity_X,Velocity_Y,Velocity_Z,Velocity_Magnitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Acceleration_Magnitude,Mass,Fuel_Ratio,Air_Density,Air_Pressure,Temperature,Dynamic_Pressure,Mach_Number,Drag_Coefficient,Lift_Coefficient
0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,1.000000,1.208557,99964.953444,287.500000,0.000000,0.000000,0.000000,0.000000
1.000000,105.235190,10.604963,-0.000000,0.000000,10.604963,10.955306,-0.000000,0.000000,10.955306,4830.105335,0.943368,1.207703,99894.257444,287.465971,67.912277,0.031201,0.000000,0.000000
2.000000,121.432098,21.931273,-0.000000,0.000000,21.931273,11.696329,-0.000000,0.000000,11.696329,4660.210669,0.886737,1.205062,99675.850854,287.360691,289.805827,0.064537,0.000000,0.000000
3.010000,149.672834,34.144133,-0.000000,0.000000,34.144133,12.486191,-0.000000,0.000000,12.486191,4488.617057,0.829539,1.200472,99296.181277,287.177127,699.768187,0.100507,0.000000,0.000000
4.010000,190.187140,47.043351,-0.000000,0.000000,47.043351,13.310132,-0.000000,0.000000,13.310132,4318.722392,0.772907,1.193917,98754.029458,286.913784,1321.115560,0.138541,0.000000,0.000000
5.010000,244.019176,60.788075,-0.000000,0.000000,60.788075,14.176482,-0.000000,0.000000,14.176482,4148.827727,0.716276,1.185264,98038.240146,286.563875,2189.887300,0.179129,0.000000,0.000000
6.010000,312.035742,75.421065,-0.000000,0.000000,75.421065,15.085839,-0.000000,0.000000,15.085839,3978.933062,0.659644,1.174419,97141.257337,286.121768,3340.246513,0.222420,0.000000,0.000000
7.010000,395.146688,90.985657,-0.000000,0.000000,90.985657,16.038759,-0.000000,0.000000,16.038759,3809.038396,0.603013,1.161303,96056.347406,285.581547,4806.859445,0.268575,0.000000,0.000000
8.010000,494.305493,107.525783,-0.000000,0.000000,107.525783,17.035887,-0.000000,0.000000,17.035887,3639.143731,0.546381,1.145846,94777.793207,284.937014,6624.014907,0.317757,0.000000,0.000000
9.010000,610.509925,125.086143,-0.000000,0.000000,125.086143,18.078142,-0.000000,0.000000,18.078142,3469.249066,0.489750,1.127992,93301.093798,284.181685,8824.591712,0.370142,0.000000,0.000000
10.010000,744.803000,143.712618,-0.000000,0.000000,143.712618,19.166996,-0.000000,0.000000,19.166996,3299.354400,0.433118,1.107707,91623.163696,283.308781,11438.908027,0.425914,0.000000,0.000000
11.010000,898.274485,163.452996,-0.000000,0.000000,163.452996,20.304841,-0.000000,0.000000,20.304841,3129.459735,0.376487,1.084970,89742.524248,282.311216,14493.508626,0.485273,0.000000,0.000000
12.010000,1072.063354,184.358139,-0.000000,0.000000,184.358139,21.495498,-0.000000,0.000000,21.495498,2959.565070,0.319855,1.059786,87659.478543,281.181588,18009.970186,0.548436,0.000000,0.000000
13.010000,1267.361672,206.483726,-0.000000,0.000000,206.483726,22.744870,-0.000000,0.000000,22.744870,2789.670404,0.263223,1.032183,85376.260468,279.912149,22003.829219,0.615648,0.000000,0.000000
14.010000,1485.420593,229.892755,-0.000000,0.000000,229.892755,24.061803,-0.000000,0.000000,24.061803,2619.775739,0.206592,1.002211,82897.148109,278.494766,26483.759685,0.687185,0.000000,0.000000
15.010000,1727.559320,254.659027,-0.000000,0.000000,254.659027,25.459208,-0.000000,0.000000,25.459208,2449.881074,0.149960,0.969948,80228.531848,276.920864,31451.146073,0.763376,0.000000,0.000000
16.010000,1995.117908,280.530753,-0.000000,0.000000,280.530753,25.654671,-0.000000,0.000000,25.654671,2279.986408,0.093329,0.935504,77379.558554,275.181734,36810.920990,0.843583,0.000000,0.000000
17.010000,2288.255959,305.553280,-0.000000,0.000000,305.553280,24.254073,-0.000000,0.000000,24.254073,2110.091743,0.036697,0.899170,74374.221327,273.276336,41974.527198,0.922026,0.000000,0.000000
18.000000,2599.279467,310.817216,-0.000000,0.000000,310.817216,-28.445188,-0.000000,0.000000,28.445188,2000.000000,0.000000,0.862161,71313.039327,271.254683,41645.546005,0.941399,0.000000,0.000000
19.000000,2896.992485,285.539260,-0.000000,0.000000,285.539260,-22.579186,-0.000000,0.000000,22.579186,2000.000000,0.000000,0.828164,68500.956011,269.319549,33761.192139,0.867939,0.000000,0.000000
20.000000,3171.950569,264.966180,-0.000000,0.000000,264.966180,-18.823705,-0.000000,0.000000,18.823705,2000.000000,0.000000,0.797957,66002.406517,267.532321,28011.098528,0.808090,0.000000,0.000000
21.000000,3427.858395,247.068433,-0.000000,0.000000,247.068433,-17.200606,-0.000000,0.000000,17.200606,2000.000000,0.000000,0.770833,63758.918044,265.868920,23526.912776,0.755859,0.000000,0.000000
22.000000,3666.543514,230.468117,-0.000000,0.000000,230.468117,-16.035891,-0.000000,0.000000,16.035891,2000.000000,0.000000,0.746367,61735.202997,264.317467,19821.844653,0.707140,0.000000,0.000000
23.000000,3889.175886,214.932700,-0.000000,0.000000,214.932700,-15.063457,-0.000000,0.000000,15.063457,2000.000000,0.000000,0.724247,59905.532530,262.870357,16728.669581,0.661285,0.000000,0.000000
24.000000,4096.731270,200.290009,-0.000000,0.000000,200.290009,-14.244908,-0.000000,0.000000,14.244908,2000.000000,0.000000,0.704215,58248.645485,261.521247,14125.176517,0.617821,0.000000,0.000000
25.000000,4290.030748,186.401367,-0.000000,0.000000,186.401367,-13.551130,-0.000000,0.000000,13.551130,2000.000000,0.000000,0.686058,56746.801163,260.264800,11918.704527,0.576366,0.000000,0.000000
26.000000,4469.770051,173.153678,-0.000000,0.000000,173.153678,-12.959726,-0.000000,0.000000,12.959726,2000.000000,0.000000,0.669595,55385.077186,259.096495,10037.965296,0.536609,0.000000,0.000000
27.000000,4636.542111,160.453650,-0.000000,0.000000,160.453650,-12.453241,-0.000000,0.000000,12.453241,2000.000000,0.000000,0.654673,54150.836862,258.012476,8427.404746,0.498295,0.000000,0.000000
28.000000,4790.854619,148.223507,-0.000000,0.000000,148.223507,-12.017918,-0.000000,0.000000,12.017918,2000.000000,0.000000,0.641163,53033.319520,257.009445,7043.239537,0.461211,0.000000,0.000000
29.000000,4933.143862,136.397765,-0.000000,0.000000,136.397765,-11.642809,-0.000000,0.000000,11.642809,2000.000000,0.000000,0.628952,52023.321583,256.084565,5850.622390,0.425180,0.000000,0.000000
30.000000,5063.785728,124.920765,-0.000000,0.000000,124.920765,-11.319126,-0.000000,0.000000,11.319126,2000.000000,0.000000,0.617946,51112.945611,255.235393,4821.583127,0.390051,0.000000,0.000000
31.000000,5183.104529,113.744755,-0.000000,0.000000,113.744755,-11.039763,-0.000000,0.000000,11.039763,2000.000000,0.000000,0.608062,50295.401004,254.459821,3933.512329,0.355696,0.000000,0.000000
32.000000,5291.380142,102.828401,-0.000000,0.000000,102.828401,-10.798947,-0.000000,0.000000,10.798947,2000.000000,0.000000,0.599230,49564.844486,253.756029,3168.030798,0.322005,0.000000,0.000000
33.000000,5388.853807,92.135592,-0.000000,0.000000,92.135592,-10.591964,0.000000,0.000000,10.591964,2000.000000,0.000000,0.591388,48916.251615,253.122450,2510.137515,0.288881,0.000000,0.000000
34.000000,5475.732851,81.634487,-0.000000,0.000000,81.634487,-10.414959,0.000000,0.000000,10.414959,2000.000000,0.000000,0.584486,48345.312781,252.557736,1947.561567,0.256242,0.000000,0.000000
35.000000,5552.194568,71.296739,-0.000000,0.000000,71.296739,-10.264777,0.000000,0.000000,10.264777,2000.000000,0.000000,0.578477,47848.348791,252.060735,1470.265522,0.224014,0.000000,0.000000
36.000000,5618.389374,61.096855,-0.000000,0.000000,61.096855,-10.138846,0.000000,0.000000,10.138846,2000.000000,0.000000,0.573326,47422.242290,251.630469,1070.062821,0.192130,0.000000,0.000000
37.000000,5674.443392,51.011662,-0.000000,0.000000,51.011662,-10.035083,0.000000,0.000000,10.035083,2000.000000,0.000000,0.568999,47064.382179,251.266118,740.322234,0.160531,0.000000,0.000000
38.000000,5720.460542,41.019859,-0.000000,0.000000,41.019859,-9.951821,0.000000,0.000000,9.951821,2000.000000,0.000000,0.565472,46772.618836,250.967006,475.739816,0.129164,0.000000,0.000000
39.000000,5756.524213,31.101626,-0.000000,0.000000,31.101626,-9.887755,0.000000,0.000000,9.887755,2000.000000,0.000000,0.562723,46545.228470,250.732593,272.164095,0.097979,0.000000,0.000000
