Time,Altitude,Velocity,Acceleration,Mass,Fuel_Ratio
0,100,0,0,5000,1
0.11,100.061,1.13246,10.3293,4981.31,0.993771
0.2,100.204,2.06518,10.3912,4966.02,0.988674
0.3,100.462,3.1081,10.4603,4949.03,0.983011
0.4,100.824,4.15796,10.5299,4932.04,0.977347
0.5,101.292,5.21479,10.5998,4915.05,0.971684
0.6,101.866,6.27864,10.6701,4898.06,0.966021
0.7,102.546,7.34954,10.7408,4881.07,0.960358
0.8,103.334,8.42753,10.8119,4864.08,0.954695
0.9,104.23,9.51266,10.8834,4847.09,0.949032
1,105.235,10.605,10.9553,4830.11,0.943368
1.1,106.35,11.7045,11.0276,4813.12,0.937705
1.2,107.574,12.8112,11.1003,4796.13,0.932042
1.3,108.91,13.9253,11.1734,4779.14,0.926379
1.4,110.358,15.0467,11.2469,4762.15,0.920716
1.5,111.918,16.1755,11.3208,4745.16,0.915053
1.6,113.591,17.3116,11.3951,4728.17,0.90939
1.7,115.379,18.4553,11.4698,4711.18,0.903726
1.8,117.281,19.6064,11.5449,4694.19,0.898063
1.9,119.298,20.765,11.6204,4677.2,0.8924
2,121.432,21.9313,11.6963,4660.21,0.886737
2.11,123.914,23.2229,11.7803,4641.52,0.880507
2.21,126.295,24.4052,11.8571,4624.53,0.874844
2.31,128.794,25.5952,11.9343,4607.54,0.869181
2.41,131.412,26.7929,12.0119,4590.55,0.863518
2.51,134.151,27.9984,12.0899,4573.56,0.857855
2.61,137.01,29.2117,12.1683,4556.57,0.852192
2.71,139.991,30.4329,12.2472,4539.59,0.846528
2.81,143.095,31.662,12.3264,4522.6,0.840865
2.91,146.322,32.8991,12.4061,4505.61,0.835202
3.01,149.673,34.1441,12.4862,4488.62,0.829539
3.11,153.149,35.3972,12.5667,4471.63,0.823876
3.21,156.75,36.6584,12.6476,4454.64,0.818213
3.31,160.479,37.9276,12.729,4437.65,0.81255
3.41,164.334,39.2051,12.8107,4420.66,0.806886
3.51,168.318,40.4907,12.8929,4403.67,0.801223
3.61,172.43,41.7846,12.9755,4386.68,0.79556
3.71,176.673,43.0867,13.0585,4369.69,0.789897
3.81,181.046,44.3972,13.142,4352.7,0.784234
3.91,185.55,45.7161,13.2258,4335.71,0.778571
4.01,190.187,47.0434,13.3101,4318.72,0.772907
4.11,194.957,48.3791,13.3948,4301.73,0.767244
4.21,199.861,49.7233,13.48,4284.74,0.761581
4.31,204.9,51.0761,13.5656,4267.75,0.755918
4.41,210.074,52.4374,13.6515,4250.76,0.750255
4.51,215.385,53.8074,13.738,4233.78,0.744592
4.61,220.834,55.186,13.8248,4216.79,0.738929
4.71,226.42,56.5733,13.9121,4199.8,0.733265
4.81,232.146,57.9694,13.9998,4182.81,0.727602
4.91,238.012,59.3743,14.0879,4165.82,0.721939
5.01,244.019,60.7881,14.1765,4148.83,0.716276
5.11,250.168,62.2107,14.2655,4131.84,0.710613
5.21,256.459,63.6422,14.3549,4114.85,0.70495
5.31,262.894,65.0827,14.4447,4097.86,0.699286
5.41,269.474,66.5323,14.535,4080.87,0.693623
5.51,276.199,67.9908,14.6258,4063.88,0.68796
5.61,283.07,69.4585,14.7169,4046.89,0.682297
5.71,290.088,70.9353,14.8085,4029.9,0.676634
5.81,297.255,72.4213,14.9005,4012.91,0.670971
5.91,304.57,73.9166,14.993,3995.92,0.665308
6.01,312.036,75.4211,15.0858,3978.93,0.659644
6.11,319.652,76.9349,15.1792,3961.94,0.653981
6.21,327.421,78.4581,15.2729,3944.95,0.648318
6.31,335.342,79.9906,15.3671,3927.96,0.642655
6.41,343.416,81.5327,15.4617,3910.98,0.636992
6.51,351.646,83.0842,15.5568,3893.99,0.631329
6.61,360.031,84.6452,15.6523,3877,0.625665
6.71,368.573,86.2159,15.7483,3860.01,0.620002
6.81,377.272,87.7961,15.8447,3843.02,0.614339
6.91,386.13,89.386,15.9415,3826.03,0.608676
7.01,395.147,90.9857,16.0388,3809.04,0.603013
7.11,404.324,92.595,16.1365,3792.05,0.59735
7.21,413.663,94.2142,16.2346,3775.06,0.591686
7.31,423.165,95.8432,16.3332,3758.07,0.586023
7.41,432.83,97.4822,16.4323,3741.08,0.58036
7.51,442.659,99.131,16.5317,3724.09,0.574697
7.61,452.653,100.79,16.6317,3707.1,0.569034
7.71,462.814,102.459,16.7321,3690.11,0.563371
7.81,473.143,104.138,16.8329,3673.12,0.557708
7.91,483.639,105.827,16.9342,3656.13,0.552044
8.01,494.305,107.526,17.0359,3639.14,0.546381
8.11,505.142,109.235,17.1381,3622.15,0.540718
8.21,516.15,110.955,17.2407,3605.16,0.535055
8.31,527.33,112.685,17.3438,3588.18,0.529392
8.41,538.684,114.425,17.4473,3571.19,0.523729
8.51,550.213,116.176,17.5513,3554.2,0.518065
8.61,561.917,117.937,17.6557,3537.21,0.512402
8.71,573.798,119.708,17.7607,3520.22,0.506739
8.81,585.856,121.49,17.866,3503.23,0.501076
8.91,598.093,123.283,17.9719,3486.24,0.495413
9.01,610.51,125.086,18.0781,3469.25,0.48975
9.11,623.108,126.9,18.1849,3452.26,0.484087
9.21,635.887,128.725,18.2921,3435.27,0.478423
9.31,648.85,130.56,18.3998,3418.28,0.47276
9.41,661.997,132.406,18.508,3401.29,0.467097
9.51,675.328,134.263,18.6166,3384.3,0.461434
9.61,688.846,136.131,18.7257,3367.31,0.455771
9.71,702.552,138.01,18.8353,3350.32,0.450108
9.81,716.446,139.9,18.9454,3333.33,0.444444
9.91,730.529,141.801,19.056,3316.34,0.438781
10.01,744.803,143.713,19.167,3299.35,0.433118
10.11,759.269,145.636,19.2785,3282.36,0.427455
10.21,773.927,147.57,19.3905,3265.38,0.421792
10.31,788.78,149.516,19.5031,3248.39,0.416129
10.41,803.828,151.472,19.6161,3231.4,0.410466
10.51,819.071,153.44,19.7296,3214.41,0.404802
10.61,834.513,155.42,19.8436,3197.42,0.399139
10.71,850.153,157.411,19.9582,3180.43,0.393476
10.81,865.992,159.413,20.0732,3163.44,0.387813
10.91,882.032,161.427,20.1888,3146.45,0.38215
11.01,898.274,163.453,20.3048,3129.46,0.376487
11.11,914.72,165.49,20.4215,3112.47,0.370823
11.21,931.37,167.539,20.5386,3095.48,0.36516
11.31,948.225,169.6,20.6563,3078.49,0.359497
11.41,965.286,171.672,20.7745,3061.5,0.353834
11.51,982.556,173.757,20.8933,3044.51,0.348171
11.61,1000.03,175.853,21.0126,3027.52,0.342508
11.71,1017.72,177.961,21.1325,3010.53,0.336844
11.81,1035.62,180.081,21.2529,2993.54,0.331181
11.91,1053.74,182.214,21.3739,2976.55,0.325518
12.01,1072.06,184.358,21.4955,2959.57,0.319855
12.11,1090.61,186.515,21.6177,2942.58,0.314192
12.21,1109.36,188.684,21.7404,2925.59,0.308529
12.31,1128.34,190.865,21.8638,2908.6,0.302866
12.41,1147.53,193.059,21.9878,2891.61,0.297202
12.51,1166.95,195.265,22.1124,2874.62,0.291539
12.61,1186.58,197.483,22.2376,2857.63,0.285876
12.71,1206.44,199.714,22.3634,2840.64,0.280213
12.81,1226.52,201.958,22.4899,2823.65,0.27455
12.91,1246.83,204.215,22.6171,2806.66,0.268887
13.01,1267.36,206.484,22.7449,2789.67,0.263223
13.11,1288.12,208.766,22.8733,2772.68,0.25756
13.21,1309.11,211.061,23.0025,2755.69,0.251897
13.31,1330.33,213.369,23.1324,2738.7,0.246234
13.41,1351.78,215.689,23.2629,2721.71,0.240571
13.51,1373.47,218.023,23.3942,2704.72,0.234908
13.61,1395.38,220.371,23.5262,2687.73,0.229245
13.71,1417.54,222.731,23.659,2670.74,0.223581
13.81,1439.93,225.105,23.7925,2653.75,0.217918
13.91,1462.55,227.492,23.9267,2636.77,0.212255
14.01,1485.42,229.893,24.0618,2619.78,0.206592
14.11,1508.53,232.307,24.1977,2602.79,0.200929
14.21,1531.88,234.735,24.3343,2585.8,0.195266
14.31,1555.47,237.176,24.4719,2568.81,0.189602
14.41,1579.31,239.632,24.6102,2551.82,0.183939
14.51,1603.39,242.101,24.7494,2534.83,0.178276
14.61,1627.73,244.584,24.8896,2517.84,0.172613
14.71,1652.31,247.082,25.0306,2500.85,0.16695
14.81,1677.14,249.593,25.1725,2483.86,0.161287
14.91,1702.22,252.119,25.3154,2466.87,0.155624
15.01,1727.56,254.659,25.4592,2449.88,0.14996
15.11,1753.15,257.214,25.604,2432.89,0.144297
15.21,1779,259.783,25.7499,2415.9,0.138634
15.31,1805.1,262.366,25.8967,2398.91,0.132971
15.41,1831.47,264.965,26.0446,2381.92,0.127308
15.51,1858.09,267.576,26.1033,2364.93,0.121645
15.61,1884.98,270.185,26.0278,2347.94,0.115981
15.71,1912.12,272.785,25.9451,2330.95,0.110318
15.81,1939.53,275.376,25.8554,2313.97,0.104655
15.91,1967.2,277.959,25.7585,2296.98,0.098992
16.01,1995.12,280.531,25.6547,2279.99,0.0933288
16.11,2023.3,283.092,25.5439,2263,0.0876656
16.21,2051.73,285.642,25.4263,2246.01,0.0820025
16.31,2080.42,288.18,25.3019,2229.02,0.0763393
16.41,2109.36,290.706,25.1709,2212.03,0.0706762
16.51,2138.56,293.217,25.0334,2195.04,0.065013
16.61,2168,295.715,24.8896,2178.05,0.0593499
16.71,2197.7,298.198,24.7396,2161.06,0.0536867
16.81,2227.64,300.666,24.5835,2144.07,0.0480236
16.91,2257.82,303.118,24.4216,2127.08,0.0423604
17.01,2288.26,305.553,24.2541,2110.09,0.0366972
17.11,2318.93,307.972,24.0811,2093.1,0.0310341
17.21,2349.85,310.373,23.9028,2076.11,0.0253709
17.31,2381,312.755,23.7195,2059.12,0.0197078
17.41,2412.39,315.119,23.5315,2042.13,0.0140446
17.51,2444.02,317.465,23.3389,2025.14,0.00838147
17.61,2475.88,319.79,23.1419,2008.15,0.00271831
17.71,2507.91,319.396,30.7786,2000,0
17.81,2539.7,316.361,29.932
